rating,content,userName,at,reviewCreatedVersion
3,"после обновления постоянно висит в трее последний трек, который играл, можно убрать это?",PBY,2026-06-20 12:13:02,2026.06.1-wear #150gpr
5,добротно,roman nikitin,2026-06-20 12:06:56,2026.05.4 #149.1gpr
1,нужно платить за вход,Weer,2026-06-20 11:58:40,2026.06.2 #151.1gpr
4,"После крайнего обновления не могу синхронизировать работу приложения на телефоне (Xiaomi Poco) с телевизором (hisense 55e7q). До этого все работало прекрасно. Допустим смотрю клип на телефоне, жму кнопку, чтобы транслировать на другое устройство, - телевизор в списке есть, но выбрать его невозможно.",Никита,2026-06-20 11:51:13,2026.06.2 #151.1gpr
1,"Отсутствует возможность хоть какой-то сортировки тех треков, которые понравились. Найти нужный, среди 2000 и больше треков, почти невозможно. Удобно было бы добавлять какой-нибудь собственный тег, чтобы потом найти что-то тематическое именно для себя. Да когда вы добавите возможность добавлять свои тэги к песням?? Невозможно сортировать никак!!",Павел Осипов,2026-06-20 11:37:21,2026.06.2 #151.1gpr
1,Как вернуть предыдущий интерфейс? это же ужас стало - смотреть неприятно.,Юрий Сойка,2026-06-20 11:28:38,2026.05.4 #149.1gpr
1,"ёма вот это вы дичь сделали с интерфейсом,как обратно откатить версию где было вче понятно и просто??????.",Федор Федоров,2026-06-20 10:48:10,2026.06.2 #151.1gpr
1,"Как можно что-то слушать в этом приложении если запиканы даже банально простые слова, однозначно самое хреновое приложение которое существует",Eternal Baron,2026-06-20 08:56:21,2026.06.2 #151.1gpr
4,много нейромузыки которая никак не помечается и не фильтруется,Gleb Andreev,2026-06-20 07:40:26,2026.06.2 #151.1gpr
1,цензура ломает фундамент культуры,Narseuca Faf,2026-06-20 07:06:47,2026.06.2 #151.1gpr
4,"приложение хорошее, к тому обновлению привыкла, но оно все равно не очень. обнова с люмиком очень хороша. и верните пожалуйста штуку когда можно было посмотреть только на задние переливающиеся искры разных цветов, они щас есть, но хочется только на искры иногда смотреть",Самира Каррамова,2026-06-20 07:05:15,2026.06.2 #151.1gpr
5,Хорошее приложение.,Combat Space,2026-06-20 06:37:30,
1,"кон....., сделайте настройку (моя волна) в самом начале своей идиотской крутили, а именно когда включаешь и сразу в середине она, после определенного обновления стало пипец не удобно, сидишь и крутишь барабан",М и х а и л,2026-06-20 06:28:54,2026.06.2 #151.1gpr
1,"На исполнителя и альбом не заходит через раз. Приходится приложение закрывать и по новой заходить. Пускай времени это действие много не занимает, всё равно раздражает",Артем,2026-06-20 06:07:20,2026.06.2 #151.1gpr
1,"в Турции в чем проблема зарегистрироваться, почему сервис недоступен ?",Павел Коноплев,2026-06-20 05:55:04,2026.06.2 #151.1gpr
2,Всё что хотелось слушать исчезает.,Рустам Хидиятов,2026-06-20 05:49:58,2026.06.1-wear #150gpr
1,"Я не пойму что с приложением произошло. Мало того что интерфейс максимально не интуитивный стал, так ещё и постоянно начал всплывать плеер в шторке, хотя приложение закрыто. За что деньги платим? Скоро голосовать рублем буду. Проще оплатить подписку на музыку в ВК.",Del Toro,2026-06-20 05:20:34,
5,Очень круто 🤟,Андрей Карионов,2026-06-20 04:57:43,2026.05.4 #149.1gpr
4,лучший,Techno Dom,2026-06-20 04:46:09,2026.06.2 #151.1gpr
1,"верните старое оформление , ЭТО ОЧЕНЬ ПЛОХО меня достаточно 100500 раз встряхивать волну чтобы найти то что мне надо (обычно это незнакомое на русском, или любимое на русском) и да, когда я наконец то нахожу ""любимое"" мне попадаются песни которые я не слушала (и не хочу никогда в жизни) я скоро застрелюсь",Мария Куличкова,2026-06-20 04:24:34,2026.06.2 #151.1gpr
1,"УВОЛЬТЕ НОВОГО ДИЗАЙНЕРА И ОТКАТИТЕ КАК БЫЛО, ЭТО УЖАС",Арсений Калякин,2026-06-20 04:21:49,2026.06.2 #151.1gpr
1,что вы сделали с нормальным приложением? этим теперь невозможно пользоваться,Oldy,2026-06-20 04:14:33,2026.06.2 #151.1gpr
1,ужасное приложение не понятно как заходить,Ramina,2026-06-20 03:38:55,2026.06.2 #151.1gpr
2,"Непонятно, что употребляли разработчики нового дизайна, но это жесть. Раньше было хорошо и понятно, зачем портить то, что и так хорошо работало? Да обновления треков тоже по сути нет. Только русское обновляется. Очень много зарубежной музыки нет.",Илья Котиков,2026-06-20 03:37:54,2026.06.2 #151.1gpr
1,"После редизайна Яндекс стал предлагать просто какой-то ужас в подборке слушать невозможно, больше всего бесит всякий нейропонос, который постоянно лезет в волну. Скучаю по иностранному зелёному сервису, и думаю о замене на отечественный зеленый",Артём Васин,2026-06-20 03:09:49,2026.06.2 #151.1gpr
1,"вот я очень хвалила ЯМ до последнего обновления впервые пишу отзыв потому что после последнего обновления это стало невыносимо в плане больше нельзя нигде включить просто только русскую музыку или только английское инди, просто ужас самый неудачный сервис музыки",Mary Djuk,2026-06-20 02:49:41,2026.06.2 #151.1gpr
2,"обновление интерфейса, хуже специально не получится сделать",Иван Коркодел,2026-06-20 02:17:16,2026.06.2 #151.1gpr
2,Ужасное обновление. Непонятное меню. Зачем?,S Nek,2026-06-20 02:14:57,2026.06.2 #151.1gpr
3,"Откатите дизайн главного экрана назад, пожалуйста, это реально ужасно неудобно.",Bite Shark713,2026-06-20 01:50:47,2026.06.2 #151.1gpr
